name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Final Conditional Oracle,0.09703941041949884,0.02564047821954558,0.11587481147880746,0.07655076838754328,-0.0188354010593086,0.06449944511747804,0.05379022822377098,0.4738006591796875,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.6908626738377797,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.021297860009670877,0.03608022207287347,0.11587481147880746,0.07655076838754328,-0.09457695146913658,0.1267157821728604,0.10221404369026703,2.5041987895965576,RevisedBaselineCensoredSurvivalForest,0.7385,0.008999534036702093,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.14676573343275703,0.059279442108532955,0.15233862561614298,0.0626054746523919,-0.005572892183385923,0.04707375432860285,0.03513642817528411,11.08580470085144,ConditionalCensoringFinalCensoredModel,1.0,0.707128636061879,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.1634524029814656,0.06136652607927549,0.15233862561614298,0.0626054746523919,0.011113777365322633,0.04503680110897721,0.032384561845360635,0.5466420650482178,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.7523006745363781,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.15549888619231728,0.043449885906869365,0.15233862561614298,0.0626054746523919,0.0031602605761743277,0.05282369843179077,0.042246747854470044,1.4644207954406738,RevisedBaselineCensoredSurvivalForest,1.0,0.5563894859675789,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.17094996304224724,0.05560738668834194,0.15933154142730746,0.05863617735985495,0.011618421614939796,0.043919781059728144,0.03326155631051235,12.041911363601685,ConditionalCensoringFinalCensoredModel,1.0,0.7263105926822545,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.17157602380236708,0.058863825324745364,0.15933154142730746,0.05863617735985495,0.012244482375059646,0.03162215979218183,0.02330990605414309,0.3936285972595215,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8768695381606848,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.2201291438660844,0.084440428631351,0.15933154142730746,0.05863617735985495,0.06079760243877695,0.09307041747391555,0.06792354921785827,1.4465715885162354,RevisedBaselineCensoredSurvivalForest,1.0,0.565778071359313,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.1433707085871747,0.031736153879347216,0.15272590582673046,0.06252904899054916,-0.009355197239555775,0.04879144109979838,0.04070916360264976,15.038065671920776,ConditionalCensoringFinalCensoredModel,1.0,0.6611415899590353,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.14593972934534016,0.048009786216958776,0.15272590582673046,0.06252904899054916,-0.006786176481390296,0.037791894855881004,0.030025572917575474,0.39504003524780273,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8049027838370523,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
