name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,source_file
Final Conditional,0.130582426094851,0.0340457121673333,0.1325667147583147,0.0671619594591955,-0.0019842886634637,0.0492058916278678,0.0411039895784713,12.712281227111816,ConditionalCensoringFinalCensoredModel,1.0,0.7112284684352423,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,0.3315629354214879,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2748880607828331,0.2834454233396912,0.2425761890074966,0.1938225154678532,0.0323118717753364,0.1404020445811991,0.0806380829011457,17.37492561340332,ConditionalCensoringFinalCensoredModel,1.0,0.9031964111310457,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,5.290064523071756,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1341603649297756,0.0318130667694543,0.1325667147583147,0.0671619594591955,0.0015936501714608,0.0600977325382039,0.0496908673773302,16.029877424240112,ConditionalCensoringFinalCensoredModel,1.0,0.4478089703256734,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,0.3315629354214879,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2994250406605295,0.2122902863617039,0.2617469834198966,0.2429031147947437,0.0376780572406328,0.1006649326105411,0.0758825386174076,16.85814595222473,ConditionalCensoringFinalCensoredModel,1.0,0.9245951630092384,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,6.0415296412434,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1509551674718243,0.0353025341245321,0.1174052881398694,0.0722367263373328,0.0335498793319549,0.0699192625673692,0.0562088045445511,15.98584485054016,ConditionalCensoringFinalCensoredModel,1.0,0.5296386092619134,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,0.2991487502117674,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1998187862985135,0.1055487997087889,0.252582389843307,0.2223377670477447,-0.0527636035447934,0.1539065205589435,0.1030495882684987,21.621476888656616,ConditionalCensoringFinalCensoredModel,1.0,0.8452421192089042,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S20,2000,20,5,5,6.765397361558125,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0817890712137432,0.0238499713009762,0.1290641383136976,0.0668116685005218,-0.0472750670999543,0.0850670368291836,0.0720225768188332,20.15257453918457,ConditionalCensoringFinalCensoredModel,0.9995,0.0097747869824658,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S20,2000,20,5,5,0.3014566136030481,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.5029623206328416,0.6616605234916947,0.3794413334670596,0.4617401049383838,0.123520987165782,0.3298632500446245,0.1848179901205955,39.54274392127991,ConditionalCensoringFinalCensoredModel,1.0,0.912305253905738,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S21,2000,40,10,10,11.682478259692967,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1026742093782355,0.0351132207288529,0.0921331847827841,0.0767668678722068,0.0105410245954514,0.0635432081842178,0.0550416216988197,34.37921380996704,ConditionalCensoringFinalCensoredModel,1.0,0.5934754612855432,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S21,2000,40,10,10,0.2902803595999702,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.3252812489194963,0.3323878847461158,0.460442998801767,0.7358616944303,-0.1351617498822706,0.5738453157957862,0.2276775683374272,59.307637453079224,ConditionalCensoringFinalCensoredModel,0.97575,0.6969669317846947,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S22,4000,20,10,10,25.98841981872896,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
