name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Final Marginal,0.11220626695830485,0.049192736869352514,0.14394559472638394,0.06707338272500406,-0.03173932776807908,0.07392926270733811,0.06049000388089306,34.50620651245117,FinalCensoredModel,1.0,0.3728740297054239,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.10032205713574002,0.03922896752239344,0.14394559472638394,0.06707338272500406,-0.04362353759064391,0.06567026428666964,0.05246637398983021,0.529505729675293,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.6894483548497371,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.10195778920465766,0.021503511865000716,0.14394559472638394,0.06707338272500406,-0.04198780552172627,0.07641712916686928,0.06397702082451943,1.6223816871643066,RevisedBaselineCensoredSurvivalForest,1.0,0.3066732750179584,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.13877775909403897,0.03293418737453068,0.15040406901020031,0.06453339006173169,-0.011626309916161362,0.04541134701757381,0.03790332589599891,13.074259042739868,FinalCensoredModel,1.0,0.7815635858536051,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.14149978836720986,0.03281787669621855,0.15040406901020031,0.06453339006173169,-0.008904280642990418,0.040024126103077165,0.03434401163861995,0.3750793933868408,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.877996328331877,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.14400298474830664,0.024255969029096613,0.15040406901020031,0.06453339006173169,-0.00640108426189367,0.05404031456998242,0.04698204649340981,1.1581826210021973,RevisedBaselineCensoredSurvivalForest,1.0,0.5984491523178327,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.12208499473390862,0.03134544033463961,0.15040406901020031,0.06453339006173169,-0.028319074276291694,0.05753319031290602,0.04727449497192272,16.816887855529785,FinalCensoredModel,1.0,0.6523040167007583,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.14149978836720986,0.03281787669621855,0.15040406901020031,0.06453339006173169,-0.008904280642990418,0.040024126103077165,0.03434401163861995,0.38835978507995605,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8779963283318771,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.13851304766017603,0.02625436161948053,0.15040406901020031,0.06453339006173169,-0.01189102135002428,0.056251531446769136,0.048075550749478994,1.3305068016052246,RevisedBaselineCensoredSurvivalForest,1.0,0.5403499827436914,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.1379059361401408,0.04562203470793489,0.13673254250411446,0.06900029226024146,0.0011733936360263184,0.05428999234229368,0.04341018191283936,16.64615797996521,FinalCensoredModel,1.0,0.6188796053572555,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.15903865149075308,0.07000871717111516,0.13673254250411446,0.06900029226024146,0.022306108986638606,0.04298327841058115,0.034667635760754156,0.39342522621154785,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8603717265399395,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.1457872897032434,0.026288125840993198,0.13673254250411446,0.06900029226024146,0.009054747199128922,0.06598939160775309,0.05645156969706844,1.3413119316101074,RevisedBaselineCensoredSurvivalForest,1.0,0.3251287555553246,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
